SSHversion,Percentage,Cipher,Percentage
SSH-2.0-ZGrab ZGrab SSH Survey,0.09,aes128-gcm@openssh.com,8.84
SSH-2.0-libssh2_1.8.2,0.06,aes256-ctr,0.33
SSH-2.0-OpenSSH,0.02,aes256-gcm@openssh.com,68.08
SSH-2.0-libssh-0.6.0,0.24,aes128-ctr,22.75
SSH-2.0-libssh2_1.4.3,0.13,,
SSH-2.0-OpenSSH_6.6.1,0.02,,
SSH-2.0-OpenSSH_8.9p19,0.21,,
SSH-2.0-OpenSSH_5.3,0.04,,
SSH-2.0-libssh2_1.9.0,1.68,,
SSH-2.0-Go,8.49,,
SSH-2.0-libssh_0.10.5,1.87,,
SSH-2.0-PUTTY,22.45,,
SSH-2.0-libssh_0.9.6,64.55,,
SSH-2.0-libssh_0.7.4,0.02,,
SSH-2.0-libssh-0.1,0.04,,
SSH-1.5-Server,0.02,,
SSH-2.0-OpenSSH_9.0,0.06,,
