SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh-0.1,0.14,chacha20-poly1305@openssh.com,0.21
SSH-2.0-OpenSSH_9.0,0.65,aes256-ctr,0.14
SSH-2.0-paramiko_2.12.0,3.04,aes256-gcm@openssh.com,5.65
SSH-2.0-libssh_0.7.4,0.36,aes128-gcm@openssh.com,61.50
SSH-2.0-libssh2_1.10.0,0.07,aes128-ctr,32.51
SSH-2.0-libssh2_1.9.0,4.49,,
SSH-2.0-PUTTY,22.81,,
SSH-2.0-Go,59.45,,
SSH-2.0-libssh_0.10.5,5.43,,
SSH-2.0-libssh-0.2,1.59,,
SSH-2.0-libssh2_1.11.0,0.36,,
SSH-2.0-OpenSSH_8.4p1 Raspbian-5+deb11u1,0.14,,
SSH-2.0-OpenSSH_7.4,1.16,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.29,,
