SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.9.0,2.59,chacha20-poly1305@openssh.com,0.07
SSH-2.0-libssh-0.1,0.07,aes128-ctr,22.90
SSH-2.0-libssh2_1.11.0,2.56,aes128-gcm@openssh.com,11.84
SSH-2.0-OpenSSH_7.4,0.07,aes256-gcm@openssh.com,65.14
SSH-2.0-libssh_0.9.6,50.90,aes256-ctr,0.05
SSH-2.0-paramiko_2.12.0,0.95,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.10,,
SSH-2.0-libssh_0.7.4,0.05,,
SSH-2.0-libssh2_1.4.3,0.02,,
SSH-2.0-libssh_0.10.5,1.00,,
SSH-2.0-PUTTY,26.84,,
SSH-2.0-libssh2_1.8.2,0.02,,
SSH-2.0-Go,14.57,,
SSH-2.0-makiko,0.10,,
SSH-2.0-OpenSSH,0.10,,
SSH-2.0-OpenSSH_9.0,0.05,,
