SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_9.0,0.14,aes256-ctr,0.62
SSH-2.0-libssh2_1.10.0,0.95,aes256-gcm@openssh.com,60.42
SSH-1.5-Server,0.01,aes128-gcm@openssh.com,11.05
SSH-2.0-libssh_0.10.5,0.18,chacha20-poly1305@openssh.com,0.57
SSH-2.0-libssh-0.1,0.03,aes128-ctr,27.34
SSH-2.0-libssh-0.6.0,0.15,,
SSH-2.0-libssh2_1.9.0,1.71,,
SSH-2.0-PUTTY,27.29,,
SSH-2.0-libssh_0.9.6,58.40,,
SSH-2.0-OpenSSH,0.01,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.03,,
SSH-2.0-makiko,0.06,,
SSH-2.0-AsyncSSH_2.1.0,0.40,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
SSH-2.0-OpenSSH_5.3,0.06,,
SSH-2.0-Go,10.54,,
