SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.8.2,0.02,chacha20-poly1305@openssh.com,0.02
SSH-2.0-OpenSSH_8.4p1 Raspbian-5+b1,0.03,aes256-ctr,0.06
SSH-2.0-libssh_0.7.4,0.05,aes256-gcm@openssh.com,58.95
SSH-2.0-OpenSSH_9.0,0.09,aes128-gcm@openssh.com,15.29
SSH-2.0-OpenSSH_5.3,0.05,aes128-ctr,25.68
SSH-2.0-JSCH-0.1.51,0.20,,
SSH-2.0-Go,14.85,,
SSH-2.0-libssh2_1.9.0,0.38,,
SSH-2.0-PUTTY,27.78,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
SSH-2.0-libssh_0.9.6,55.16,,
SSH-2.0-libssh_0.10.5,0.24,,
SSH-2.0-libssh2_1.4.3,0.03,,
SSH-2.0-libssh2_1.11.0,1.09,,
