SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.8.2,0.02,aes128-gcm@openssh.com,79.15
SSH-2.0-libssh2_1.9.0,0.94,aes256-ctr,0.06
SSH-2.0-AsyncSSH_2.1.0,7.16,aes256-gcm@openssh.com,2.02
SSH-1.99-3.2.9 SSH Secure Shell for Windows,0.02,aes128-ctr,11.15
SSH-2.0-OpenSSH_9.2p1 Raspbian-2+deb12u2,0.04,chacha20-poly1305@openssh.com,7.62
SSH-2.0-paramiko_2.12.0,0.75,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,,
SSH-2.0-makiko,0.08,,
SSH-2.0-libssh_0.7.4,0.08,,
SSH-2.0-PUTTY,10.05,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-libssh-0.2,0.42,,
SSH-2.0-OpenSSH_7.4,0.56,,
SSH-2.0-OpenSSH_9.0,0.10,,
SSH-2.0-libssh2_1.11.0,1.11,,
SSH-2.0-Go,77.54,,
SSH-2.0-libssh_0.10.5,1.01,,
SSH-2.0-paramiko_2.11.0,0.04,,
