SSHversion,Percentage,Cipher,Percentage
SSH-2.0-PUTTY,25.43,aes256-gcm@openssh.com,58.83
SSH-2.0-libssh_0.10.5,2.04,aes128-ctr,28.97
SSH-2.0-libssh-0.1,0.05,aes128-gcm@openssh.com,12.11
SSH-2.0-Go,11.79,aes256-ctr,0.08
SSH-2.0-libssh2_1.9.0,2.14,,
SSH-2.0-OpenSSH_5.3,0.05,,
SSH-2.0-OpenSSH_9.0,0.19,,
SSH-2.0-libssh2_1.8.0,1.09,,
SSH-2.0-libssh2_1.4.3,0.05,,
SSH-2.0-libssh2_1.10.0,0.88,,
SSH-2.0-libssh_0.7.4,0.05,,
SSH-2.0-libssh_0.9.6,55.51,,
SSH-2.0-OpenSSH_6.6.1,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.10,,
SSH-2.0-libssh2_1.8.2,0.61,,
