SSHversion,Percentage,Cipher,Percentage
SSH-2.0-paramiko_2.12.0,0.17,chacha20-poly1305@openssh.com,0.01
SSH-2.0-libssh_0.7.4,0.02,aes256-gcm@openssh.com,5.85
SSH-2.0-ZGrab ZGrab SSH Survey,0.02,aes128-ctr,4.85
SSH-2.0-libssh_0.10.5,0.28,aes128-gcm@openssh.com,89.27
SSH-2.0-libssh-0.1,0.01,aes256-ctr,0.01
SSH-2.0-PUTTY,7.38,,
SSH-1.5-Server,0.00,,
SSH-2.0-libssh_0.9.6,5.60,,
SSH-2.0-makiko,0.02,,
SSH-2.0-OpenSSH_9.0,0.00,,
SSH-2.0-OpenSSH_7.4,0.03,,
SSH-2.0-libssh2_1.9.0,0.33,,
SSH-2.0-Go,86.11,,
SSH-2.0-libssh2_1.8.2,0.00,,
SSH-2.0-libssh2_1.4.3,0.02,,
SSH-2.0-OpenSSH,0.00,,
