SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_9.0,0.06,aes256-ctr,0.03
SSH-2.0-libssh_0.9.6,9.06,aes128-ctr,5.38
SSH-2.0-libssh2_1.11.0,0.39,aes256-gcm@openssh.com,9.67
SSH-2.0-paramiko_2.12.0,0.19,aes128-gcm@openssh.com,84.91
SSH-2.0-OpenSSH_7.4,0.03,,
SSH-2.0-libssh_0.10.5,0.31,,
SSH-2.0-libssh2_1.4.3,0.01,,
SSH-2.0-libssh2_1.9.0,0.18,,
SSH-2.0-libssh_0.7.4,0.01,,
SSH-2.0-OpenSSH_8.9p19,0.10,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.02,,
SSH-2.0-PUTTY,8.01,,
SSH-2.0-OpenSSH_5.3,0.01,,
SSH-2.0-libssh2_1.8.2,0.00,,
SSH-2.0-Go,81.59,,
SSH-2.0-libssh-0.1,0.01,,
