SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_8.4p1 Raspbian-5+b1,0.05,aes256-gcm@openssh.com,6.44
SSH-2.0-libssh_0.10.5,1.38,aes256-ctr,0.05
SSH-2.0-OpenSSH_8.4p1 Raspbian-5+deb11u3,0.05,aes128-ctr,27.45
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u4,0.05,chacha20-poly1305@openssh.com,0.32
SSH-2.0-OpenSSH_9.0,0.13,aes128-gcm@openssh.com,65.74
SSH-2.0-libssh2_1.9.0,0.42,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.11,,
SSH-2.0-Go,64.67,,
SSH-2.0-PUTTY,25.47,,
SSH-2.0-libssh-0.1,0.05,,
SSH-2.0-OpenSSH,0.03,,
SSH-2.0-makiko,0.11,,
SSH-2.0-libssh2_1.11.0,5.07,,
SSH-2.0-OpenSSH_7.4,0.69,,
SSH-2.0-libssh-0.2,0.58,,
SSH-2.0-paramiko_2.12.0,1.04,,
SSH-1.99-3.2.9 SSH Secure Shell for Windows,0.05,,
SSH-2.0-libssh_0.7.4,0.03,,
