SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh-0.2,1.95,aes256-ctr,0.13
SSH-2.0-paramiko_2.12.0,0.91,aes128-ctr,82.87
SSH-2.0-libssh2_1.9.0,1.12,aes128-gcm@openssh.com,16.96
SSH-2.0-OpenSSH_8.4p1 Raspbian-5+deb11u1,0.05,chacha20-poly1305@openssh.com,0.04
SSH-2.0-libssh_0.7.4,0.10,,
SSH-2.0-OpenSSH_9.0,0.24,,
SSH-2.0-libssh-0.1,0.07,,
SSH-2.0-paramiko_2.11.0,0.05,,
SSH-2.0-OpenSSH_5.3,0.10,,
SSH-2.0-OpenSSH_7.4,0.02,,
SSH-1.5-Nmap-SSH1-Hostkey,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.10,,
SSH-2.0-libssh2_1.10.0,0.02,,
SSH-2.0-libssh2_1.4.3,24.69,,
SSH-2.0-PUTTY,54.41,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.02,,
SSH-2.0-Go,15.97,,
SSH-2.0-Nmap-SSH2-Hostkey,0.14,,
SSH-1.5-NmapNSE_1.0,0.02,,
