SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,17.67,aes128-gcm@openssh.com,18.79
SSH-2.0-libssh2_1.10.0,0.02,aes128-ctr,52.33
SSH-2.0-paramiko_2.12.0,0.63,aes256-ctr,0.04
SSH-2.0-libssh2_1.9.0,1.26,aes256-gcm@openssh.com,28.84
SSH-2.0-libssh_0.9.6,18.73,,
SSH-1.5-Nmap-SSH1-Hostkey,0.02,,
SSH-2.0-OpenSSH_8.9p19,0.17,,
SSH-2.0-libssh2_1.11.0,8.04,,
SSH-2.0-libssh_0.10.5,0.86,,
SSH-2.0-libssh_0.7.4,0.07,,
SSH-1.5-NmapNSE_1.0,0.02,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.02,,
SSH-2.0-OpenSSH_9.0,0.05,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.07,,
SSH-2.0-libssh2_1.4.3,0.03,,
SSH-2.0-PUTTY,52.27,,
SSH-2.0-Nmap-SSH2-Hostkey,0.10,,
