SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH,0.03,chacha20-poly1305@openssh.com,3.47
SSH-2.0-libssh_0.7.4,0.06,aes256-gcm@openssh.com,6.44
SSH-2.0-OpenSSH_7.4,0.32,aes256-ctr,0.03
SSH-2.0-Go,79.39,aes128-gcm@openssh.com,73.25
SSH-2.0-libssh_0.10.5,2.25,aes128-ctr,16.81
SSH-2.0-OpenSSH_9.0,0.09,,
SSH-2.0-makiko,0.88,,
SSH-2.0-libssh2_1.4.3,0.06,,
SSH-2.0-libssh-0.1,0.09,,
SSH-2.0-paramiko_2.9.2,0.03,,
SSH-2.0-libssh2_1.11.0,3.89,,
SSH-1.5-Server,0.03,,
SSH-2.0-libssh2_1.9.0,0.32,,
SSH-2.0-paramiko_2.12.0,1.14,,
SSH-2.0-OpenSSH_6.6.1,0.03,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10,0.06,,
SSH-2.0-libssh-0.2,2.69,,
SSH-2.0-PUTTY,6.29,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2,0.06,,
SSH-2.0-AsyncSSH_2.1.0,2.19,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.12,,
