SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.10.5,1.52,aes128-gcm@openssh.com,58.09
SSH-2.0-paramiko_2.12.0,0.78,aes128-ctr,40.08
SSH-2.0-PUTTY,38.90,aes256-gcm@openssh.com,1.53
SSH-2.0-Go,55.64,chacha20-poly1305@openssh.com,0.26
SSH-2.0-makiko,0.16,aes256-ctr,0.04
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,,
SSH-2.0-OpenSSH_7.4,0.04,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.04,,
SSH-2.0-OpenSSH_8.9p19,0.40,,
SSH-2.0-libssh_0.7.4,0.02,,
SSH-2.0-libssh-0.2,1.94,,
SSH-2.0-libssh2_1.4.3,0.06,,
SSH-2.0-OpenSSH_9.0,0.12,,
SSH-2.0-libssh2_1.9.0,0.26,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2,0.04,,
