SSHversion,Percentage,Cipher,Percentage
SSH-2.0-makiko,0.17,aes256-gcm@openssh.com,2.87
SSH-1.5-NmapNSE_1.0,0.03,aes128-ctr,54.99
SSH-2.0-Go,39.73,chacha20-poly1305@openssh.com,0.11
SSH-2.0-libssh_0.10.5,2.19,aes128-gcm@openssh.com,42.03
SSH-2.0-OpenSSH_9.0,0.19,,
SSH-1.5-Nmap-SSH1-Hostkey,0.03,,
SSH-2.0-Nmap-SSH2-Hostkey,0.17,,
SSH-2.0-libssh-0.2,2.69,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.11,,
SSH-2.0-libssh2_1.4.3,0.06,,
SSH-2.0-libssh2_1.9.0,1.33,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.03,,
SSH-2.0-libssh2_1.11.0,0.53,,
SSH-2.0-libssh2_1.10.0,0.03,,
SSH-2.0-libssh_0.7.4,0.14,,
SSH-2.0-paramiko_2.12.0,1.08,,
SSH-2.0-PUTTY,51.50,,
