SSHversion,Percentage,Cipher,Percentage
SSH-2.0-PuTTY_Release_0.62,0.07,aes128-gcm@openssh.com,5.78
SSH-2.0-WinSCP_release_5.7.4,0.02,aes256-ctr,0.07
SSH-2.0-WinSCP_release_5.2.7,0.09,aes256-gcm@openssh.com,51.02
SSH-2.0-libssh_0.11,0.10,aes128-ctr,43.10
SSH-2.0-OpenSSH_3.9p1,0.05,chacha20-poly1305@openssh.com,0.03
SSH-2.0-OpenSSH,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.07,,
SSH-2.0-PuTTY_Release_0.65,0.05,,
SSH-2.0-WinSCP_release_5.7.6,0.07,,
SSH-2.0-WinSCP_release_3.8.1,0.09,,
SSH-2.0-PuTTY_Release_0.61,0.07,,
SSH-2.0-libssh_0.9.6,49.63,,
SSH-2.0-WinSCP_release_5.7.5,0.09,,
SSH-2.0-OpenSSH_8.9p19,0.17,,
SSH-2.0-PuTTY_KiTTY,0.10,,
SSH-2.0-paramiko_2.1.2,0.03,,
SSH-2.0-OpenSSH_5.2,0.02,,
SSH-2.0-paramiko_1.12.4,0.07,,
SSH-2.0-OpenSSH_6.6.1,0.02,,
SSH-2.0-JSCH_0.1.51,0.12,,
SSH-2.0-PuTTY_Snapshot_2010_02_20,0.02,,
SSH-2.0-libssh-0.3.4,0.02,,
SSH-2.0-PuTTY_Release_0.66,0.05,,
SSH-2.0-libssh-0.6.0,0.12,,
SSH-2.0-paramiko_1.8.1,0.16,,
SSH-2.0-PuTTY_Release_0.59,0.14,,
SSH-2.0-OpenSSH_5.3,0.14,,
SSH-2.0-paramiko_1.10.1,0.12,,
SSH-2.0-paramiko_1.16.1,0.07,,
SSH-2.0-PuTTY_Release_0.63,0.09,,
SSH-2.0-libssh2_1.10.0,0.52,,
SSH-2.0-paramiko_2.0.2,0.07,,
SSH-2.0-OpenSSH_9.0,0.09,,
SSH-2.0-Nmap-SSH2-Hostkey,0.03,,
SSH-2.0-paramiko_1.16.0,0.09,,
SSH-2.0-paramiko_1.17.1,0.03,,
SSH-2.0-Granados-1.0,0.05,,
SSH-2.0-OpenSSH_6.1,0.03,,
SSH-2.0-libssh_0.5.5,0.05,,
SSH-2.0-WinSCP_release_5.1.5,0.07,,
SSH-2.0-paramiko_1.7.5,0.05,,
SSH-2.0-OpenSSH_6.0,0.05,,
SSH-2.0-libssh2_1.4.3,35.03,,
SSH-2.0-paramiko_2.0.0,0.03,,
SSH-2.0-paramiko_1.15.1,0.07,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.03,,
SSH-2.0-OpenSSH_6.0p,0.09,,
SSH-2.0-libssh-0.1,0.03,,
SSH-2.0-libssh_0.7.4,0.05,,
SSH-2.0-Nmap_SSH2_Hostkey  ,0.03,,
SSH-2.0-libssh_0.10.5,0.61,,
SSH-2.0-OpenSSH_4.3,0.05,,
SSH-2.0-Go,5.94,,
SSH-2.0_CoreLab-1.0,0.07,,
SSH-2.0-WinSCP_release_4.3.5,0.03,,
SSH-2.0-PuTTY_Release_0.62.1,0.03,,
SSH-2.0-OpenSSH_6.2,0.07,,
SSH-2.0-paramiko_1.7.7.1,0.05,,
SSH-2.0-PuTTY_Release_0.67,0.05,,
SSH-2.0-paramiko_2.1.1,0.02,,
SSH-2.0-PuTTY_Release_0.58,0.02,,
SSH-2.0-WinSCP_release_4.1.9,0.07,,
SSH-2.0-JSCH_0.1.48,0.09,,
SSH-2.0-PuTTY_Release_0.64,0.03,,
SSH-2.0-paramiko_1.15.2,0.07,,
SSH-2.0-libssh_0.4.8,0.05,,
SSH-2.0-WinSCP_release_5.1.3,0.05,,
SSH-2.0-PuTTY_Release_0.60,0.02,,
SSH-2.0-libssh2_1.9.0,1.11,,
SSH-2.0-OpenSSH_5.9,0.02,,
SSH-2.0-PUTTY,3.12,,
SSH-1.5-Nmap-SSH1-Hostkey,0.02,,
