SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_8.9p19,0.44,aes128-gcm@openssh.com,32.89
SSH-2.0-Go,31.40,aes256-gcm@openssh.com,3.30
SSH-2.0-libssh-0.1,0.09,aes128-ctr,63.25
SSH-2.0-OpenSSH_9.0,0.22,chacha20-poly1305@openssh.com,0.52
SSH-2.0-libssh_0.7.4,0.13,aes256-ctr,0.04
SSH-2.0-makiko,0.49,,
SSH-2.0-libssh-0.2,0.97,,
SSH-2.0-PUTTY,59.89,,
SSH-2.0-paramiko_2.12.0,0.62,,
SSH-2.0-JSCH-0.1.51,0.62,,
SSH-2.0-libssh_0.10.5,3.22,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.18,,
SSH-2.0-OpenSSH_7.4,1.19,,
SSH-2.0-libssh2_1.9.0,0.44,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u1,0.09,,
