SSHversion,Percentage,Cipher,Percentage
SSH-2.0-paramiko_2.12.0,0.59,aes256-gcm@openssh.com,82.37
SSH-2.0-OpenSSH_8.9p19,0.46,aes256-ctr,0.01
SSH-2.0-PUTTY,15.81,aes128-gcm@openssh.com,2.01
SSH-2.0-libssh_0.7.4,0.08,aes128-ctr,15.58
SSH-2.0-OPENSSH_7.9,0.02,chacha20-poly1305@openssh.com,0.02
SSH-2.0-libssh2_1.11.0,17.85,,
SSH-2.0-libssh2_1.8.2,0.03,,
SSH-2.0-Go,1.66,,
SSH-2.0-libssh2_1.9.0,1.19,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
SSH-2.0-libssh2_1.4.3,0.06,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-OpenSSH_9.0,0.06,,
SSH-2.0-libssh_0.9.6,61.88,,
SSH-2.0-libssh_0.10.5,0.24,,
