SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,20.41,aes128-ctr,3.17
SSH-2.0-makiko,0.07,aes256-ctr,0.01
SSH-2.0-OpenSSH_9.2p1 Debian-2+deb12u2,0.03,aes256-gcm@openssh.com,76.07
SSH-2.0-libssh_0.9.6,73.16,aes128-gcm@openssh.com,20.30
SSH-2.0-libssh2_1.11.0,3.05,chacha20-poly1305@openssh.com,0.44
SSH-2.0-libssh-0.1,0.05,,
SSH-2.0-paramiko_2.12.0,0.63,,
SSH-2.0-OpenSSH_9.0,0.12,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.07,,
SSH-2.0-OpenSSH_7.4,0.05,,
SSH-2.0-AsyncSSH_2.1.0,0.35,,
SSH-2.0-libssh2_1.9.0,1.15,,
SSH-2.0-libssh2_1.4.3,0.08,,
SSH-2.0-OpenSSH,0.07,,
SSH-2.0-libssh_0.10.5,0.67,,
SSH-2.0-libssh_0.7.4,0.05,,
