SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,13.88,chacha20-poly1305@openssh.com,0.04
SSH-2.0-libssh2_1.4.3,0.06,aes128-gcm@openssh.com,14.56
SSH-2.0-OpenSSH_9.0,0.08,aes256-ctr,0.27
SSH-2.0-paramiko_2.11.0,0.03,aes128-ctr,19.15
SSH-2.0-libssh2_1.8.2,0.03,aes256-gcm@openssh.com,65.97
SSH-2.0-libssh_0.9.6,63.59,,
SSH-2.0-libssh2_1.10.0,0.39,,
SSH-2.0-OpenSSH_8.9p19,0.13,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-2.0-libssh2_1.9.0,0.41,,
SSH-2.0-PUTTY,21.20,,
SSH-2.0-paramiko_2.9.2,0.01,,
SSH-2.0-OpenSSH,0.08,,
SSH-2.0-makiko,0.05,,
SSH-2.0-libssh-0.1,0.01,,
