SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh-0.1,0.09,chacha20-poly1305@openssh.com,0.18
SSH-2.0-paramiko_2.12.0,1.78,aes256-gcm@openssh.com,2.22
SSH-2.0-libssh_0.10.5,1.01,aes128-gcm@openssh.com,30.73
SSH-2.0-ZGrab ZGrab SSH Survey,0.18,aes256-ctr,0.14
SSH-2.0-libssh-0.2,4.43,aes128-ctr,66.73
SSH-2.0-PUTTY,60.76,,
SSH-2.0-libssh2_1.4.3,0.18,,
SSH-2.0-libssh2_1.9.0,0.59,,
SSH-2.0-libssh2_1.11.0,1.14,,
SSH-2.0-OpenSSH_9.0,0.09,,
SSH-2.0-Go,29.24,,
SSH-2.0-OpenSSH_8.4p1 Raspbian-5+deb11u1,0.09,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.09,,
SSH-2.0-libssh_0.7.4,0.18,,
SSH-2.0-OpenSSH_7.4,0.09,,
SSH-1.5-Server,0.05,,
