SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2,0.05,aes256-gcm@openssh.com,45.53
SSH-2.0-libssh-0.1,0.02,aes256-ctr,0.02
SSH-2.0-libssh_0.9.6,44.20,aes128-ctr,34.91
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.05,chacha20-poly1305@openssh.com,0.13
SSH-2.0-ZGrab ZGrab SSH Survey,0.10,aes128-gcm@openssh.com,19.41
SSH-2.0-OpenSSH_9.0,0.05,,
SSH-2.0-Go,18.94,,
SSH-2.0-libssh_0.10.5,0.22,,
SSH-2.0-libssh2_1.9.0,0.02,,
SSH-2.0-libssh2_1.4.3,0.07,,
SSH-2.0-PUTTY,34.62,,
SSH-2.0-libssh2_1.8.2,0.76,,
SSH-2.0-JSCH-0.1.51,0.69,,
SSH-2.0-OpenSSH_9.2p1 Debian-2+deb12u2,0.05,,
SSH-2.0-libssh_0.7.4,0.15,,
