SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.9.0,0.23,aes256-ctr,1.35
SSH-2.0-paramiko_3.4.0,0.15,aes128-ctr,39.62
SSH-2.0-libssh2_1.10.0,0.57,aes256-gcm@openssh.com,39.17
SSH-2.0-libssh2_1.4.3,0.11,aes128-gcm@openssh.com,19.41
SSH-2.0-PUTTY,40.20,chacha20-poly1305@openssh.com,0.45
SSH-2.0-makiko,0.32,,
SSH-2.0-Go,18.73,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,,
SSH-2.0-libssh_0.7.4,0.04,,
SSH-2.0-AsyncSSH_2.1.0,0.34,,
SSH-2.0-libssh2_1.8.2,0.04,,
SSH-2.0-OpenSSH_9.0,0.11,,
SSH-2.0-libssh_0.9.6,39.07,,
SSH-2.0-libssh-0.1,0.02,,
