SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.9.0,0.20,aes256-gcm@openssh.com,59.90
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,chacha20-poly1305@openssh.com,0.03
SSH-2.0-libssh_0.10.5,0.85,aes128-gcm@openssh.com,6.47
SSH-2.0-libssh_0.7.4,0.12,aes128-ctr,33.53
SSH-2.0-OpenSSH_9.2p1 Raspbian-2+deb12u2,0.04,aes256-ctr,0.07
SSH-2.0-OpenSSH_9.0,0.10,,
SSH-2.0-libssh_0.9.6,56.72,,
SSH-2.0-Go,6.54,,
SSH-2.0-PUTTY,22.98,,
SSH-2.0-libssh2_1.10.0,1.28,,
SSH-2.0-libssh-0.1,0.04,,
SSH-2.0-libssh2_1.4.3,11.02,,
SSH-2.0-OpenSSH_7.4,0.02,,
