SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,71.46,aes256-gcm@openssh.com,27.20
SSH-2.0-libssh_0.9.6,27.52,aes128-ctr,1.01
SSH-2.0-OpenSSH_9.0,0.04,aes128-gcm@openssh.com,71.58
SSH-2.0-Nmap_SSH2_Enum_Algos,0.01,aes256-ctr,0.20
SSH-2.0-libssh_0.10.5,0.34,,
SSH-2.0-phpseclib_1.0 (openssl),0.01,,
SSH-2.0-OpenSSH_5.3,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.02,,
SSH-1.5-Nmap-SSH1-Hostkey,0.01,,
SSH-2.0-libssh2_1.9.0,0.45,,
SSH-2.0-libssh_0.7.4,0.03,,
SSH-2.0-libssh2_1.10.0,0.01,,
SSH-1.5-NmapNSE_1.0,0.01,,
SSH-2.0-Nmap-SSH2-Hostkey,0.07,,
