SSHversion,Percentage,Cipher,Percentage
SSH-2.0-ZGrab ZGrab SSH Survey,0.07,aes256-gcm@openssh.com,72.70
SSH-2.0-libssh_0.7.4,0.07,aes128-gcm@openssh.com,10.08
SSH-2.0-libssh-0.1,0.02,aes128-ctr,17.17
SSH-2.0-libssh2_1.11.0,0.26,aes256-ctr,0.06
SSH-2.0-PUTTY,14.98,,
SSH-2.0-libssh2_1.10.0,1.21,,
SSH-2.0-libssh_0.9.6,68.86,,
SSH-2.0-libssh2_1.4.3,0.04,,
SSH-2.0-paramiko_2.11.0,0.04,,
SSH-2.0-libssh2_1.9.0,2.36,,
SSH-2.0-Go,11.63,,
SSH-2.0-libssh_0.10.5,0.26,,
SSH-2.0-OpenSSH,0.04,,
SSH-1.5-Server,0.02,,
SSH-2.0-OpenSSH_9.0,0.13,,
SSH-2.0-OpenSSH_6.7p1 Raspbian-5+deb8u4,0.04,,
