SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,21.87,aes256-gcm@openssh.com,71.79
SSH-2.0-libssh2_1.8.2,0.46,aes128-gcm@openssh.com,22.29
SSH-2.0-Nmap_SSH2_Enum_Algos,0.02,aes256-ctr,0.07
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,aes128-ctr,5.85
SSH-2.0-Nmap-SSH2-Hostkey,0.09,,
SSH-2.0-libssh2_1.9.0,0.80,,
SSH-2.0-libssh-0.1,0.03,,
SSH-2.0-libssh2_1.10.0,0.52,,
SSH-2.0-libssh_0.9.6,70.71,,
SSH-2.0-OpenSSH_5.3,0.03,,
SSH-2.0-libssh2_1.4.3,0.09,,
SSH-2.0-libssh_0.7.4,0.05,,
SSH-2.0-PUTTY,4.82,,
SSH-1.5-NmapNSE_1.0,0.02,,
SSH-2.0-OpenSSH_8.9p19,0.31,,
SSH-1.5-Nmap-SSH1-Hostkey,0.02,,
SSH-2.0-OpenSSH_9.0,0.11,,
