SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.9.0,2.66,aes128-ctr,15.67
SSH-2.0-libssh_0.7.4,0.02,aes256-gcm@openssh.com,69.98
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,aes128-gcm@openssh.com,14.14
SSH-2.0-Go,14.17,aes256-ctr,0.03
SSH-2.0-libssh2_1.10.0,1.81,chacha20-poly1305@openssh.com,0.17
SSH-2.0-PUTTY,12.34,,
SSH-2.0-makiko,0.17,,
SSH-2.0-libssh_0.9.6,68.47,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-OpenSSH_9.0,0.08,,
SSH-2.0-libssh2_1.8.2,0.06,,
SSH-2.0-libssh2_1.4.3,0.08,,
SSH-2.0-OpenSSH,0.02,,
