SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_7.4,0.03,aes128-gcm@openssh.com,7.84
SSH-2.0-libssh_0.9.6,55.91,aes256-gcm@openssh.com,57.20
SSH-2.0-libssh2_1.8.2,0.03,aes256-ctr,0.05
SSH-2.0-OpenSSH_9.0,0.04,chacha20-poly1305@openssh.com,3.84
SSH-2.0-libssh2_1.9.0,1.18,aes128-ctr,31.07
SSH-2.0-libssh2_1.10.0,0.45,,
SSH-2.0-PUTTY,30.54,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
SSH-2.0-libssh_0.7.4,0.07,,
SSH-2.0-OpenSSH_8.9p19,0.15,,
SSH-2.0-libssh2_1.4.3,0.09,,
SSH-2.0-Go,7.87,,
SSH-2.0-libssh-0.1,0.01,,
SSH-2.0-makiko,3.44,,
SSH-2.0-paramiko_3.4.0,0.12,,
