SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.10.5,1.08,aes256-ctr,1.28
SSH-2.0-libssh2_1.11.0,1.34,aes128-ctr,23.14
SSH-2.0-OpenSSH_5.3,0.04,aes256-gcm@openssh.com,50.73
SSH-2.0-OpenSSH_7.4,0.06,aes128-gcm@openssh.com,24.84
SSH-2.0-libssh_0.9.6,45.43,,
SSH-2.0-OpenSSH_8.9p19,0.15,,
SSH-2.0-PUTTY,26.47,,
SSH-2.0-libssh2_1.8.2,0.01,,
SSH-2.0-paramiko_2.12.0,0.58,,
SSH-2.0-libssh_0.7.4,0.04,,
SSH-2.0-Go,22.92,,
SSH-2.0-OpenSSH_9.0,0.07,,
SSH-2.0-OpenSSH_6.6.1,0.01,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
SSH-2.0-libssh-0.5.2,1.13,,
SSH-2.0-libssh2_1.9.0,0.53,,
SSH-2.0-libssh2_1.4.3,0.03,,
SSH-2.0-libssh-0.1,0.01,,
