SSHversion,Percentage,Cipher,Percentage
SSH-2.0-PUTTY,16.80,aes128-ctr,17.39
SSH-2.0-paramiko_2.12.0,0.74,chacha20-poly1305@openssh.com,0.03
SSH-2.0-libssh2_1.9.0,1.27,aes256-gcm@openssh.com,63.70
SSH-2.0-OpenSSH_5.3,0.04,aes256-ctr,0.09
SSH-2.0-libssh_0.10.5,0.28,aes128-gcm@openssh.com,18.79
SSH-2.0-libssh_0.7.4,0.02,,
SSH-2.0-libssh2_1.11.0,1.16,,
SSH-2.0-libssh_0.9.6,59.20,,
SSH-2.0-libssh2_1.4.3,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,,
SSH-2.0-OpenSSH_9.0,0.06,,
SSH-2.0-Go,20.33,,
SSH-2.0-OPENSSH_7.9,0.02,,
