SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH,0.02,aes256-gcm@openssh.com,65.82
SSH-2.0-libssh2_1.10.0,2.32,aes128-ctr,22.54
SSH-2.0-libssh_0.9.6,63.35,aes128-gcm@openssh.com,11.62
SSH-2.0-OpenSSH_9.0,0.10,aes256-ctr,0.02
SSH-2.0-OpenSSH_6.6.1,0.02,,
SSH-2.0-libssh2_1.4.3,0.04,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,,
SSH-2.0-libssh_0.7.4,0.10,,
SSH-2.0-OpenSSH_8.9p19,0.19,,
SSH-2.0-PUTTY,19.71,,
SSH-2.0-libssh-0.1,0.04,,
SSH-2.0-libssh2_1.9.0,1.80,,
SSH-2.0-libssh_0.10.5,0.69,,
SSH-2.0-Go,11.23,,
SSH-1.5-Nmap-SSH1-Hostkey,0.02,,
SSH-2.0-libssh2_1.11.0,0.23,,
SSH-2.0-Nmap-SSH2-Hostkey,0.04,,
