SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh-0.1,0.11,aes128-ctr,92.27
SSH-2.0-paramiko_1.16.0,0.15,chacha20-poly1305@openssh.com,0.41
SSH-2.0-libssh_0.7.4,0.34,aes256-ctr,0.11
SSH-2.0-OpenSSH_8.0,0.26,aes128-gcm@openssh.com,7.21
SSH-2.0-paramiko_2.0.0,0.15,,
SSH-2.0-PuTTY_Release_0.60,0.19,,
SSH-2.0-WinSCP_release_5.7.6,0.26,,
SSH-2.0-WinSCP_release_5.7.5,0.11,,
SSH-2.0-PuTTY_Release_0.66,0.23,,
SSH-2.0-PuTTY_Release_0.65,0.04,,
SSH-2.0-libssh-0.6.0,0.04,,
SSH-2.0-OpenSSH_5.3,0.19,,
SSH-2.0-OpenSSH_5.9,0.08,,
SSH-2.0-paramiko_2.0.2,0.11,,
SSH-2.0-OpenSSH_6.2,0.23,,
SSH-2.0-paramiko_2.1.1,0.08,,
SSH-2.0-OpenSSH_8.9p19,0.75,,
SSH-2.0-libssh-0.2,3.09,,
SSH-2.0-OpenSSH_6.1,0.26,,
SSH-2.0-paramiko_1.17.1,0.15,,
SSH-2.0-OpenSSH_6.0,0.08,,
SSH-2.0-paramiko_2.12.0,1.47,,
SSH-2.0-makiko,0.15,,
SSH-2.0-libssh2_1.4.3,0.19,,
SSH-2.0-PuTTY_Release_0.59,0.11,,
SSH-2.0-PuTTY_Release_0.64,0.19,,
SSH-2.0-paramiko_1.10.1,0.08,,
SSH-2.0-libssh-0.3.4,0.11,,
SSH-2.0-WinSCP_release_4.3.5,0.11,,
SSH-2.0-paramiko_1.7.7.1,0.19,,
SSH-2.0-Go,6.29,,
SSH-2.0-OpenSSH_5.2,0.23,,
SSH-2.0_CoreLab-1.0,0.04,,
SSH-2.0-PuTTY_Release_0.67,0.19,,
SSH-2.0-paramiko_1.8.1,0.23,,
SSH-2.0-PuTTY_Release_0.61,0.08,,
SSH-2.0-Granados-1.0,0.19,,
SSH-2.0-libssh2_1.9.0,1.81,,
SSH-2.0-WinSCP_release_5.7.4,0.08,,
SSH-2.0-paramiko_2.1.2,0.11,,
SSH-2.0-OpenSSH_6.0p,0.04,,
SSH-2.0-PuTTY_Release_0.63,0.41,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.15,,
SSH-2.0-WinSCP_release_4.1.9,0.08,,
SSH-2.0-paramiko_2.11.0,0.08,,
SSH-2.0-libssh_0.11,0.19,,
SSH-2.0-PuTTY_Release_0.62.1,0.08,,
SSH-2.0-paramiko_1.15.1,0.11,,
SSH-2.0-WinSCP_release_5.2.7,0.08,,
SSH-2.0-PuTTY_Release_0.62,0.26,,
SSH-2.0-Nmap_SSH2_Hostkey  ,0.08,,
SSH-2.0-paramiko_1.15.2,0.19,,
SSH-2.0-WinSCP_release_3.8.1,0.15,,
SSH-2.0-OpenSSH_4.3,0.11,,
SSH-2.0-OpenSSH_3.9p1,0.23,,
SSH-2.0-PUTTY,77.66,,
SSH-2.0-PuTTY_KiTTY,0.04,,
SSH-2.0-PuTTY_Release_0.58,0.15,,
SSH-2.0-paramiko_1.7.5,0.23,,
SSH-2.0-OpenSSH_9.0,0.15,,
SSH-2.0-paramiko_1.12.4,0.19,,
SSH-2.0-libssh2_1.8.2,0.04,,
SSH-2.0-PuTTY_Snapshot_2010_02_20,0.15,,
SSH-2.0-libssh_0.5.5,0.15,,
SSH-2.0-JSCH_0.1.51,0.08,,
SSH-2.0-paramiko_1.16.1,0.11,,
SSH-2.0-JSCH_0.1.48,0.11,,
