SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_9.0,0.05,aes128-gcm@openssh.com,8.89
SSH-2.0-libssh2_1.11.0,1.22,aes128-ctr,16.95
SSH-2.0-libssh2_1.9.0,0.80,aes256-gcm@openssh.com,74.12
SSH-2.0-libssh_0.9.6,69.21,chacha20-poly1305@openssh.com,0.05
SSH-2.0-OpenSSH_7.4,0.03,,
SSH-2.0-libssh_0.10.5,1.07,,
SSH-2.0-libssh2_1.4.3,0.04,,
SSH-2.0-Go,8.52,,
SSH-2.0-libssh-0.1,0.03,,
SSH-2.0-libssh_0.7.4,0.08,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.03,,
SSH-2.0-PUTTY,18.63,,
SSH-2.0-paramiko_2.12.0,0.24,,
