SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,27.52,aes128-ctr,14.80
SSH-2.0-libssh2_1.9.0,1.05,aes256-gcm@openssh.com,58.03
SSH-2.0-OpenSSH_8.9p19,0.11,aes128-gcm@openssh.com,27.06
SSH-2.0-Nmap-SSH2-Hostkey,0.06,chacha20-poly1305@openssh.com,0.11
SSH-1.5-NmapNSE_1.0,0.01,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2,0.04,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.04,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.01,,
SSH-2.0-libssh2_1.10.0,0.31,,
SSH-2.0-libssh_0.10.5,0.63,,
SSH-1.5-Nmap-SSH1-Hostkey,0.01,,
SSH-2.0-libssh_0.9.6,53.57,,
SSH-2.0-libssh2_1.8.2,0.14,,
SSH-2.0-OpenSSH_9.0,0.09,,
SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3,0.02,,
SSH-2.0-libssh2_1.11.0,0.74,,
SSH-2.0-libssh2_1.4.3,0.07,,
SSH-2.0-PUTTY,15.49,,
SSH-2.0-OpenSSH_8.0,0.07,,
