SSHversion,Percentage,Cipher,Percentage
SSH-2.0-makiko,0.07,aes256-gcm@openssh.com,75.39
SSH-2.0-libssh_0.9.6,71.45,aes256-ctr,0.01
SSH-2.0-libssh2_1.11.0,1.23,aes128-gcm@openssh.com,1.41
SSH-2.0-ZGrab ZGrab SSH Survey,0.07,chacha20-poly1305@openssh.com,0.10
SSH-1.0-SSH_Version_Mapper,0.02,aes128-ctr,23.09
SSH-2.0-paramiko_2.12.0,0.72,,
SSH-2.0-libssh2_1.9.0,0.90,,
SSH-2.0-libssh_0.10.5,0.32,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-libssh2_1.4.3,0.07,,
SSH-2.0-OpenSSH,0.02,,
SSH-2.0-libssh2_1.8.2,0.02,,
SSH-2.0-OpenSSH-keyscan,0.03,,
SSH-2.0-PUTTY,23.57,,
SSH-2.0-OpenSSH_9.0,0.07,,
SSH-2.0-OpenSSH_7.4,0.05,,
SSH-2.0-Go,1.35,,
SSH-2.0-libssh_0.7.4,0.03,,
