SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_9.6,0.01,aes256-gcm@openssh.com,72.47
SSH-2.0-libssh-0.1,0.03,aes128-gcm@openssh.com,3.88
SSH-2.0-libssh_0.10.5,0.98,chacha20-poly1305@openssh.com,0.16
SSH-2.0-OpenSSH_6.7p1 Raspbian-5+deb8u4,0.03,aes256-ctr,0.03
SSH-2.0-PUTTY,24.30,aes128-ctr,23.46
SSH-2.0-makiko,0.05,,
SSH-2.0-libssh_0.9.6,66.51,,
SSH-2.0-OpenSSH,0.01,,
SSH-2.0-libssh2_1.4.3,0.03,,
SSH-1.5-Server,0.01,,
SSH-2.0-libssh2_1.11.0,1.95,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-2.0-libssh_0.7.4,0.08,,
SSH-2.0-Go,3.76,,
SSH-2.0-paramiko_2.12.0,0.24,,
SSH-2.0-libssh2_1.9.0,0.16,,
SSH-2.0-OpenSSH_9.0,0.05,,
SSH-2.0-libssh2_1.10.0,1.66,,
SSH-2.0-libssh2_1.8.2,0.01,,
SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3,0.03,,
SSH-2.0-OpenSSH_9.2p1 Debian-2+deb12u2,0.05,,
