SSHversion,Percentage,Cipher,Percentage
SSH-2.0-paramiko_2.12.0,1.43,chacha20-poly1305@openssh.com,15.21
SSH-2.0-libssh2_1.4.3,0.15,aes128-gcm@openssh.com,32.69
SSH-2.0-libssh_0.10.5,0.11,aes256-ctr,0.25
SSH-2.0-OpenSSH_7.9p1 Raspbian-10,0.07,aes256-gcm@openssh.com,0.14
SSH-2.0-PUTTY,45.85,aes128-ctr,51.71
SSH-2.0-libssh-0.1,0.04,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.15,,
SSH-2.0-Go,31.96,,
SSH-2.0-libssh_0.7.4,0.07,,
SSH-1.5-Server,0.04,,
SSH-2.0-paramiko_3.4.0,0.29,,
SSH-2.0-OpenSSH_5.3,0.15,,
SSH-2.0-libssh2_1.9.0,1.76,,
SSH-2.0-OpenSSH_9.0,0.07,,
SSH-2.0-OpenSSH_8.0,0.26,,
SSH-2.0-AsyncSSH_2.1.0,14.04,,
SSH-2.0-libssh-0.2,3.55,,
SSH-2.0-OpenSSH,0.04,,
