SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.9.6,58.50,aes256-ctr,0.06
SSH-2.0-OpenSSH,0.02,aes128-gcm@openssh.com,6.15
SSH-2.0-libssh-0.1,0.06,aes128-ctr,32.96
SSH-2.0-Go,5.94,aes256-gcm@openssh.com,60.78
SSH-2.0-libssh_0.10.5,0.22,chacha20-poly1305@openssh.com,0.05
SSH-2.0-libssh2_1.9.0,2.45,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.07,,
SSH-2.0-OpenSSH_5.3,0.07,,
SSH-2.0-libssh2_1.8.0,0.84,,
SSH-2.0-OpenSSH_7.4,0.04,,
SSH-2.0-OpenSSH_9.0,0.07,,
SSH-2.0-PUTTY,31.67,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u4,0.04,,
