SSHversion,Percentage,Cipher,Percentage
SSH-2.0-PUTTY,20.33,aes128-gcm@openssh.com,53.73
SSH-2.0-libssh2_1.11.0,1.03,aes256-ctr,0.02
SSH-2.0-Go,51.23,aes256-gcm@openssh.com,27.05
SSH-1.0-SSH_Version_Mapper,0.01,aes128-ctr,19.21
SSH-2.0-libssh_0.7.4,0.07,,
SSH-2.0-libssh2_1.4.3,0.07,,
SSH-2.0-OpenSSH,0.01,,
SSH-2.0-OpenSSH_9.0,0.07,,
SSH-2.0-OpenSSH_8.9p19,0.11,,
SSH-2.0-libssh_0.10.5,0.23,,
SSH-2.0-libssh_0.9.6,25.41,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-2.0-libssh2_1.9.0,0.51,,
SSH-2.0-paramiko_2.12.0,0.48,,
SSH-2.0-OpenSSH_7.4,0.01,,
SSH-2.0-libssh2_1.10.0,0.38,,
