SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.7.4,0.15,aes128-gcm@openssh.com,8.27
SSH-2.0-OpenSSH_9.0,0.15,aes128-ctr,91.29
SSH-2.0-ZGrab ZGrab SSH Survey,0.19,chacha20-poly1305@openssh.com,0.10
SSH-2.0-OpenSSH_8.9p19,0.49,aes256-ctr,0.34
SSH-2.0-libssh-0.1,0.10,,
SSH-2.0-libssh2_1.9.0,5.69,,
SSH-2.0-paramiko_2.12.0,1.90,,
SSH-2.0-libssh-0.2,2.34,,
SSH-2.0-OpenSSH_9.6,0.05,,
SSH-2.0-libssh2_1.4.3,0.10,,
SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3,0.10,,
SSH-2.0-Go,7.93,,
SSH-2.0-PUTTY,80.15,,
SSH-2.0-JSCH-0.1.51,0.54,,
SSH-2.0-OpenSSH_5.3,0.15,,
