SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh-0.2,0.22,aes128-ctr,20.06
SSH-2.0-libssh2_1.11.0,23.49,aes256-ctr,0.05
SSH-2.0-paramiko_2.12.0,0.42,aes256-gcm@openssh.com,67.68
SSH-2.0-PUTTY,19.72,aes128-gcm@openssh.com,12.20
SSH-2.0-libssh2_1.10.0,1.93,,
SSH-2.0-libssh_0.7.4,0.01,,
SSH-2.0-libssh2_1.9.0,0.88,,
SSH-2.0-Go,12.35,,
SSH-2.0-libssh_0.9.6,40.50,,
SSH-1.99-3.2.9 SSH Secure Shell for Windows,0.02,,
SSH-2.0-OpenSSH_9.0,0.06,,
SSH-2.0-OpenSSH_5.3,0.03,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.04,,
SSH-2.0-libssh_0.10.5,0.32,,
