SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u1,0.02,chacha20-poly1305@openssh.com,0.06
SSH-2.0-OpenSSH_5.3,0.04,aes128-gcm@openssh.com,23.32
SSH-2.0-libssh2_1.9.0,0.50,aes256-ctr,0.05
SSH-2.0-JSCH-0.1.51,0.19,aes128-ctr,19.65
SSH-2.0-libssh2_1.10.0,1.90,aes256-gcm@openssh.com,56.92
SSH-2.0-OpenSSH_8.9p19,0.23,,
SSH-2.0-paramiko_2.12.0,0.46,,
SSH-2.0-libssh2_1.4.3,0.01,,
SSH-2.0-libssh-0.2,0.25,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-2.0-Go,22.12,,
SSH-2.0-libssh_0.9.6,33.47,,
SSH-2.0-PUTTY,20.13,,
SSH-2.0-OpenSSH_7.4,0.04,,
SSH-2.0-libssh2_1.11.0,19.74,,
SSH-2.0-libssh_0.10.5,0.84,,
SSH-2.0-OpenSSH_9.0,0.02,,
