SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.4.3,0.02,aes256-gcm@openssh.com,23.33
SSH-2.0-libssh2_1.8.2,0.02,aes128-ctr,56.08
SSH-2.0-OpenSSH_8.0,0.04,aes256-ctr,0.01
SSH-2.0-PUTTY,7.37,aes128-gcm@openssh.com,19.56
SSH-2.0-ZGrab ZGrab SSH Survey,0.02,chacha20-poly1305@openssh.com,1.03
SSH-2.0-libssh2_1.11.0,5.81,,
SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.8,0.01,,
SSH-2.0-libssh2_1.9.0,0.29,,
SSH-2.0-OpenSSH_9.0,0.02,,
SSH-2.0-makiko,0.05,,
SSH-2.0-libssh_0.7.4,0.01,,
SSH-2.0-paramiko_2.12.0,0.23,,
SSH-2.0-Go,67.10,,
SSH-2.0-libssh-0.2,0.54,,
SSH-2.0-libssh_0.10.6,1.19,,
SSH-2.0-libssh_0.9.6,17.29,,
