SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_7.4,0.15,aes128-gcm@openssh.com,32.08
SSH-2.0-PUTTY,16.58,aes128-ctr,13.79
SSH-2.0-paramiko_3.3.1,0.02,aes256-gcm@openssh.com,54.05
SSH-2.0-OpenSSH_5.3,0.03,aes256-ctr,0.04
SSH-2.0-paramiko_2.12.0,0.40,chacha20-poly1305@openssh.com,0.05
SSH-2.0-libssh2_1.11.0,0.79,,
SSH-2.0-JSCH-0.1.51,0.11,,
SSH-2.0-Go,29.95,,
SSH-2.0-OPENSSH_7.9,0.01,,
SSH-2.0-libssh_0.7.4,0.04,,
SSH-2.0-libssh2_1.9.0,0.13,,
SSH-2.0-libssh-0.2,0.21,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-libssh2_1.4.3,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.04,,
SSH-2.0-libssh_0.9.6,51.47,,
SSH-2.0-makiko,0.04,,
