SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.9.0,0.07,aes256-gcm@openssh.com,12.73
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.01,aes128-gcm@openssh.com,11.26
SSH-2.0-OpenSSH_5.3,0.01,aes128-ctr,75.92
SSH-2.0-libssh-0.1,0.01,chacha20-poly1305@openssh.com,0.08
SSH-2.0-libssh_0.7.4,0.00,aes256-ctr,0.01
SSH-2.0-ZGrab ZGrab SSH Survey,0.01,,
SSH-2.0-makiko,0.06,,
SSH-2.0-OpenSSH_9.0,0.02,,
SSH-2.0-libssh2_1.4.3,0.01,,
SSH-2.0-libssh_0.9.6,13.46,,
SSH-2.0-paramiko_2.11.0,0.01,,
SSH-2.0-PUTTY,0.74,,
SSH-2.0-libssh-0.2,0.34,,
SSH-2.0-paramiko_2.12.0,0.15,,
SSH-2.0-Go,85.10,,
