SSHversion,Percentage,Cipher,Percentage
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,aes128-gcm@openssh.com,4.47
SSH-1.5-Server,0.01,aes256-ctr,0.01
SSH-2.0-libssh2_1.4.3,0.03,aes256-gcm@openssh.com,85.94
SSH-2.0-libssh-0.1,0.01,aes128-ctr,9.58
SSH-2.0-libssh_0.9.6,44.42,,
SSH-2.0-OpenSSH_7.4,0.05,,
SSH-2.0-libssh2_1.9.0,0.16,,
SSH-2.0-libssh2_1.10.0,0.34,,
SSH-2.0-paramiko_2.12.0,0.45,,
SSH-2.0-OpenSSH_9.0,0.02,,
SSH-2.0-libssh2_1.11.0,37.69,,
SSH-2.0-PUTTY,10.86,,
SSH-2.0-libssh_0.10.5,0.37,,
SSH-2.0-Go,4.62,,
SSH-2.0-OpenSSH,0.01,,
SSH-2.0-libssh-0.2,0.77,,
SSH-2.0-libssh_0.7.4,0.15,,
