SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.7.4,0.04,aes256-ctr,0.29
SSH-2.0-libssh2_1.11.0,29.08,aes128-ctr,16.03
SSH-2.0-libssh2_1.4.3,0.01,chacha20-poly1305@openssh.com,0.01
SSH-2.0-OpenSSH,0.02,aes256-gcm@openssh.com,63.86
SSH-2.0-OpenSSH_5.3,0.04,aes128-gcm@openssh.com,19.80
SSH-2.0-libssh2_1.9.0,0.44,,
SSH-2.0-libssh2_1.10.0,1.15,,
SSH-1.5-Server,0.01,,
SSH-2.0-libssh_0.9.6,32.67,,
SSH-2.0-paramiko_2.12.0,0.41,,
SSH-2.0-Go,18.42,,
SSH-2.0-paramiko_3.3.1,0.01,,
SSH-2.0-libssh-0.2,0.21,,
SSH-2.0-OpenSSH_9.0,0.02,,
SSH-2.0-PUTTY,17.11,,
SSH-2.0-OPENSSH_7.9,0.01,,
SSH-2.0-OpenSSH_7.4,0.17,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.04,,
SSH-2.0-JSCH-0.1.51,0.12,,
