SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,17.39,aes256-ctr,0.06
SSH-2.0-OpenSSH_8.9p19,0.27,aes128-gcm@openssh.com,7.91
SSH-2.0-OpenSSH_9.0,0.01,chacha20-poly1305@openssh.com,0.14
SSH-2.0-OpenSSH_9.2p1 Debian-2+deb12u2,0.03,aes256-gcm@openssh.com,68.52
SSH-2.0-libssh2_1.11.0,8.32,aes128-ctr,23.37
SSH-2.0-libssh_0.9.6,58.30,,
SSH-2.0-libssh2_1.10.0,3.09,,
SSH-2.0-OpenSSH_7.4,0.37,,
SSH-2.0-libssh-0.2,0.29,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-2.0-OpenSSH_5.3,0.04,,
SSH-2.0-paramiko_2.11.0,0.03,,
SSH-2.0-OpenSSH-keyscan,0.08,,
SSH-2.0-libssh2_1.9.0,0.12,,
SSH-2.0-libssh_0.10.5,0.10,,
SSH-2.0-PUTTY,11.16,,
SSH-2.0-libssh_0.7.4,0.03,,
SSH-2.0-paramiko_2.12.0,0.33,,
