SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.4.3,0.01,aes128-gcm@openssh.com,20.24
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,aes128-ctr,24.55
SSH-2.0-OpenSSH,0.01,aes256-ctr,0.05
SSH-1.0-SSH_Version_Mapper,0.01,aes256-gcm@openssh.com,55.06
SSH-2.0-OpenSSH_7.4,0.01,chacha20-poly1305@openssh.com,0.11
SSH-2.0-libssh-0.2,0.27,,
SSH-2.0-JSCH-0.1.51,0.21,,
SSH-2.0-libssh_0.9.6,51.78,,
SSH-2.0-OpenSSH_9.0,0.10,,
SSH-2.0-paramiko_2.12.0,0.51,,
SSH-2.0-makiko,0.10,,
SSH-1.5-Server,0.01,,
SSH-2.0-libssh2_1.11.0,0.79,,
SSH-2.0-PUTTY,19.09,,
SSH-2.0-OpenSSH_5.3,0.04,,
SSH-2.0-libssh_0.7.4,0.03,,
SSH-2.0-Go,25.77,,
SSH-2.0-libssh_0.10.5,0.99,,
SSH-2.0-libssh2_1.9.0,0.21,,
