SSHversion,Percentage,Cipher,Percentage
SSH-1.5-Nmap-SSH1-Hostkey,0.02,aes128-ctr,8.35
SSH-2.0-libssh2_1.11.0,1.60,aes128-gcm@openssh.com,36.58
SSH-2.0-libssh2_1.9.0,1.02,chacha20-poly1305@openssh.com,1.57
SSH-2.0-libssh-0.1,0.02,aes256-ctr,0.10
SSH-2.0-AsyncSSH_2.1.0,0.48,aes256-gcm@openssh.com,53.40
SSH-2.0-OpenSSH_9.0,0.08,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.08,,
SSH-2.0-OpenSSH_9.2p1 Raspbian-2+deb12u2,0.04,,
SSH-2.0-libssh2_1.10.0,2.78,,
SSH-2.0-Go,36.79,,
SSH-2.0-libssh-0.2,0.44,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.02,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.04,,
SSH-2.0-OpenSSH_5.3,0.06,,
SSH-2.0-makiko,0.93,,
SSH-2.0-libssh_0.7.4,0.10,,
SSH-2.0-Nmap-SSH2-Hostkey,0.12,,
SSH-2.0-OpenSSH_7.4,0.60,,
SSH-2.0-libssh_0.9.6,49.73,,
SSH-1.5-NmapNSE_1.0,0.02,,
SSH-2.0-libssh_0.10.5,1.08,,
SSH-2.0-PUTTY,3.92,,
