SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.9.0,0.08,aes256-ctr,0.07
SSH-2.0-OpenSSH_7.4,0.04,chacha20-poly1305@openssh.com,0.22
SSH-2.0-libssh_0.9.6,44.60,aes256-gcm@openssh.com,48.37
SSH-2.0-PUTTY,21.09,aes128-ctr,19.08
SSH-2.0-paramiko_2.11.0,0.04,aes128-gcm@openssh.com,32.27
SSH-2.0-OpenSSH_9.0,0.02,,
SSH-2.0-libssh_0.7.4,0.01,,
SSH-2.0-Go,32.28,,
SSH-2.0-libssh_0.10.5,0.79,,
SSH-2.0-AsyncSSH_2.1.0,0.24,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.04,,
SSH-2.0-OpenSSH_5.3,0.03,,
SSH-2.0-libssh-0.2,0.23,,
SSH-2.0-libssh2_1.11.0,0.08,,
SSH-2.0-libssh2_1.4.3,0.04,,
SSH-2.0-paramiko_2.12.0,0.40,,
