SSHversion,Percentage,Cipher,Percentage
SSH-1.5-NmapNSE_1.0,0.08,aes128-gcm@openssh.com,21.57
SSH-2.0-Go,20.23,aes128-ctr,74.77
SSH-2.0-ZGrab ZGrab SSH Survey,0.30,aes256-gcm@openssh.com,3.43
SSH-2.0-OpenSSH_9.0,0.30,aes256-ctr,0.23
SSH-2.0-libssh-0.1,0.23,,
SSH-2.0-libssh2_1.9.0,0.99,,
SSH-2.0-OpenSSH_5.3,0.15,,
SSH-2.0-OpenSSH_7.4,2.36,,
SSH-2.0-libssh_0.10.5,0.99,,
SSH-2.0-OpenSSH_8.9p19,0.76,,
SSH-2.0-PUTTY,68.82,,
SSH-2.0-libssh-0.2,1.60,,
SSH-2.0-libssh2_1.10.0,0.08,,
SSH-2.0-libssh_0.7.4,0.08,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.08,,
SSH-1.5-Nmap-SSH1-Hostkey,0.08,,
SSH-2.0-libssh2_1.11.0,2.43,,
SSH-2.0-Nmap-SSH2-Hostkey,0.46,,
