SSHversion,Percentage,Cipher,Percentage
SSH-2.0-makiko,0.51,aes256-gcm@openssh.com,49.15
SSH-2.0-libssh-0.2,1.44,chacha20-poly1305@openssh.com,0.42
SSH-2.0-paramiko_2.12.0,0.60,aes256-ctr,0.07
SSH-2.0-PUTTY,2.90,aes128-gcm@openssh.com,46.50
SSH-2.0-libssh_0.7.4,0.11,aes128-ctr,3.86
SSH-2.0-OpenSSH_9.0,0.06,,
SSH-2.0-libssh2_1.11.0,1.59,,
SSH-2.0-libssh-0.1,0.03,,
SSH-2.0-OpenSSH_9.2p1 Debian-2+deb12u2,0.03,,
SSH-2.0-OpenSSH_7.4,0.03,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
SSH-2.0-libssh_0.9.6,46.41,,
SSH-2.0-OpenSSH_5.3,0.05,,
SSH-2.0-libssh2_1.9.0,0.77,,
SSH-2.0-Go,45.43,,
