SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_9.0,0.15,aes128-gcm@openssh.com,11.41
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.09,aes256-gcm@openssh.com,77.38
SSH-2.0-libssh-0.1,0.04,chacha20-poly1305@openssh.com,0.07
SSH-2.0-OpenSSH_7.4,0.28,aes256-ctr,0.05
SSH-2.0-libssh2_1.10.0,4.40,aes128-ctr,11.08
SSH-2.0-OpenSSH_5.3,0.06,,
SSH-2.0-paramiko_2.12.0,0.83,,
SSH-2.0-libssh2_1.11.0,1.32,,
SSH-2.0-libssh_0.7.4,0.09,,
SSH-2.0-PUTTY,6.12,,
SSH-2.0-libssh2_1.8.2,0.06,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.09,,
SSH-2.0-OpenSSH_8.9p19,0.43,,
SSH-2.0-libssh_0.9.6,73.77,,
SSH-2.0-libssh2_1.9.0,0.30,,
SSH-2.0-libssh-0.2,0.43,,
SSH-2.0-Go,10.73,,
SSH-2.0-libssh_0.10.5,0.77,,
SSH-2.0-paramiko_2.11.0,0.04,,
