SSHversion,Percentage,Cipher,Percentage
SSH-2.0-paramiko_2.11.0,0.08,aes128-ctr,3.61
SSH-2.0-OpenSSH_7.4,1.58,aes128-gcm@openssh.com,82.62
SSH-2.0-OpenSSH_8.9p19,0.41,chacha20-poly1305@openssh.com,1.64
SSH-2.0-libssh-0.1,0.04,aes256-gcm@openssh.com,11.98
SSH-2.0-OpenSSH_9.0,0.12,aes256-ctr,0.15
SSH-2.0-Go,81.73,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.16,,
SSH-2.0-libssh2_1.11.0,1.34,,
SSH-2.0-makiko,1.50,,
SSH-2.0-OpenSSH_5.3,0.08,,
SSH-2.0-libssh_0.9.6,8.47,,
SSH-2.0-libssh_0.7.4,0.04,,
SSH-2.0-libssh-0.2,0.85,,
SSH-2.0-libssh_0.10.5,2.11,,
SSH-2.0-libssh2_1.8.2,0.08,,
SSH-2.0-libssh2_1.9.0,1.42,,
