SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.7.4,0.07,aes256-ctr,0.05
SSH-2.0-OpenSSH_8.9p19,0.12,aes256-gcm@openssh.com,89.43
SSH-2.0-OpenSSH_5.3,0.02,chacha20-poly1305@openssh.com,0.37
SSH-2.0-OpenSSH_8.4p1 Raspbian-5+deb11u1,0.01,aes128-gcm@openssh.com,5.52
SSH-2.0-libssh-0.2,1.08,aes128-ctr,4.64
SSH-2.0-libssh2_1.11.0,27.35,,
SSH-2.0-libssh_0.9.6,59.89,,
SSH-2.0-PUTTY,5.30,,
SSH-2.0-paramiko_2.12.0,0.45,,
SSH-2.0-OpenSSH_9.0,0.05,,
SSH-2.0-libssh2_1.9.0,0.20,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-2.0-Go,5.40,,
