SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh2_1.4.3,0.03,aes256-ctr,0.47
SSH-2.0-libssh-0.1,0.01,aes128-gcm@openssh.com,18.59
SSH-2.0-libssh_0.7.4,0.06,aes128-ctr,22.74
SSH-2.0-libssh_0.9.6,52.12,aes256-gcm@openssh.com,58.08
SSH-2.0-OpenSSH_5.3,0.01,chacha20-poly1305@openssh.com,0.12
SSH-2.0-OpenSSH_9.0,0.01,,
SSH-2.0-paramiko_2.12.0,0.55,,
SSH-2.0-libssh-0.2,0.94,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
SSH-2.0-libssh_0.10.5,0.46,,
SSH-2.0-libssh2_1.8.2,0.04,,
SSH-2.0-makiko,0.11,,
SSH-2.0-libssh2_1.11.0,3.42,,
SSH-2.0-libssh2_1.9.0,0.21,,
SSH-2.0-OpenSSH_7.4,0.04,,
SSH-2.0-Go,17.53,,
SSH-2.0-PUTTY,24.39,,
