SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.7.4,0.07,aes256-gcm@openssh.com,54.60
SSH-2.0-OpenSSH_8.9p19,0.13,chacha20-poly1305@openssh.com,2.16
SSH-2.0-libssh-0.1,0.01,aes128-ctr,21.31
SSH-2.0-paramiko_2.12.0,0.51,aes256-ctr,0.07
SSH-2.0-OpenSSH_7.4,0.07,aes128-gcm@openssh.com,21.86
SSH-2.0-OpenSSH_6.6.1,0.01,,
SSH-2.0-libssh-0.2,0.27,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.05,,
SSH-1.5-NmapNSE_1.0,0.01,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.01,,
SSH-2.0-Nmap-SSH2-Hostkey,0.08,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2+rpt1,0.03,,
SSH-2.0-libssh2_1.10.0,0.01,,
SSH-2.0-libssh_0.10.5,0.84,,
SSH-2.0-libssh2_1.11.0,3.45,,
SSH-2.0-PUTTY,21.99,,
SSH-2.0-libssh_0.9.6,47.95,,
SSH-2.0-libssh_0.10.6,2.29,,
SSH-2.0-OpenSSH_9.0,0.08,,
SSH-2.0-OpenSSH_7.9p1 Raspbian-10+deb10u2,0.03,,
SSH-2.0-Go,21.04,,
SSH-1.5-Nmap-SSH1-Hostkey,0.01,,
SSH-2.0-OpenSSH_5.3,0.04,,
SSH-2.0-libssh2_1.9.0,1.02,,
