SSHversion,Percentage,Cipher,Percentage
SSH-2.0-Go,11.07,aes256-ctr,0.06
SSH-2.0-paramiko_2.11.0,0.10,aes256-gcm@openssh.com,51.25
SSH-2.0-libssh2_1.9.0,0.83,aes128-gcm@openssh.com,11.81
SSH-2.0-libssh_0.9.6,43.68,aes128-ctr,36.03
SSH-2.0-libssh-0.1,0.03,chacha20-poly1305@openssh.com,0.85
SSH-2.0-libssh-0.2,0.35,,
SSH-2.0-OpenSSH_7.4,0.19,,
SSH-2.0-OpenSSH_9.0,0.05,,
SSH-2.0-libssh_0.7.4,0.03,,
SSH-2.0-PUTTY,36.93,,
SSH-2.0-OpenSSH_5.3,0.03,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.07,,
SSH-2.0-libssh2_1.11.0,4.62,,
SSH-2.0-libssh_0.10.5,0.69,,
SSH-2.0-paramiko_2.12.0,0.67,,
SSH-2.0-makiko,0.64,,
