SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.10.5,0.41,aes256-gcm@openssh.com,66.27
SSH-2.0-paramiko_2.12.0,0.61,aes128-ctr,16.87
SSH-2.0-libssh-0.2,0.35,aes128-gcm@openssh.com,16.75
SSH-2.0-OpenSSH_5.3,0.05,aes256-ctr,0.07
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,chacha20-poly1305@openssh.com,0.04
SSH-2.0-libssh2_1.11.0,1.96,,
SSH-2.0-libssh_0.9.6,62.62,,
SSH-2.0-OpenSSH_9.0,0.06,,
SSH-2.0-libssh_0.7.4,0.02,,
SSH-2.0-libssh2_1.9.0,1.02,,
SSH-2.0-libssh2_1.8.2,0.05,,
SSH-2.0-Go,15.62,,
SSH-2.0-PUTTY,13.31,,
SSH-2.0-libssh-0.1,0.03,,
SSH-2.0-libssh2_1.10.0,3.45,,
SSH-2.0-OpenSSH_7.4,0.08,,
SSH-2.0-paramiko_3.4.0,0.13,,
SSH-2.0-Debian-2+deb12u2,0.03,,
SSH-2.0-OpenSSH_8.9p19,0.16,,
