SSHversion,Percentage,Cipher,Percentage
SSH-2.0-OpenSSH_5.3,0.04,aes128-ctr,19.32
SSH-2.0-libssh2_1.4.3,0.01,aes128-gcm@openssh.com,14.31
SSH-2.0-libssh_0.7.4,0.06,aes256-gcm@openssh.com,66.22
SSH-2.0-Go,15.68,chacha20-poly1305@openssh.com,0.06
SSH-2.0-paramiko_2.12.0,0.52,aes256-ctr,0.08
SSH-2.0-OpenSSH_9.0,0.07,,
SSH-2.0-libssh2_1.10.0,1.50,,
SSH-2.0-PUTTY,19.48,,
SSH-2.0-libssh2_1.9.0,0.59,,
SSH-2.0-OpenSSH_8.9p19,0.14,,
SSH-2.0-OpenSSH_7.4,0.04,,
SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u3,0.03,,
SSH-2.0-libssh_0.9.6,59.92,,
SSH-2.0-libssh-0.2,0.29,,
SSH-2.0-libssh2_1.11.0,0.46,,
SSH-2.0-OpenSSH_8.4p1 Debian-5+deb11u2,0.03,,
SSH-2.0-libssh_0.10.5,1.08,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.06,,
