SSHversion,Percentage,Cipher,Percentage
SSH-2.0-PUTTY,19.16,aes128-gcm@openssh.com,22.96
SSH-2.0-ZGrab ZGrab SSH Survey,0.04,aes128-ctr,17.16
SSH-2.0-libssh_0.10.6,0.48,chacha20-poly1305@openssh.com,0.55
SSH-2.0-libssh2_1.9.0,0.92,aes256-ctr,0.02
SSH-2.0-paramiko_2.12.0,0.44,aes256-gcm@openssh.com,59.31
SSH-2.0-libssh_0.9.6,54.73,,
SSH-2.0-libssh_0.10.5,0.08,,
SSH-2.0-OpenSSH_9.0,0.03,,
SSH-2.0-libssh_0.7.4,0.04,,
SSH-2.0-makiko,0.15,,
SSH-2.0-libssh-0.1,0.02,,
SSH-2.0-OpenSSH_5.3,0.01,,
SSH-2.0-Go,21.38,,
SSH-2.0-OpenSSH,0.06,,
SSH-2.0-libssh-0.2,0.24,,
SSH-2.0-OpenSSH_7.2p2 Ubuntu-4ubuntu2.10,0.01,,
SSH-2.0-libssh2_1.11.0,2.19,,
SSH-2.0-OpenSSH_7.4,0.01,,
