SSHversion,Percentage,Cipher,Percentage
SSH-2.0-libssh_0.10.6,1.46,aes256-ctr,0.04
SSH-2.0-OpenSSH_6.6.1,0.01,aes256-gcm@openssh.com,45.79
SSH-2.0-Go,37.41,aes128-ctr,48.99
SSH-2.0-OpenSSH_7.4,0.03,chacha20-poly1305@openssh.com,1.68
SSH-2.0-libssh-0.2,0.18,aes128-gcm@openssh.com,3.50
SSH-2.0-libssh_0.7.4,0.06,,
SSH-2.0-libssh_0.9.6,42.99,,
SSH-2.0-libssh2_1.9.0,0.10,,
SSH-2.0-OpenSSH_5.3,0.03,,
SSH-2.0-Nmap-SSH2-Hostkey,0.05,,
SSH-2.0-OpenSSH_9.0,0.03,,
SSH-2.0-PUTTY,15.34,,
SSH-2.0-paramiko_2.12.0,0.33,,
SSH-2.0-Nmap_SSH2_Enum_Algos,0.01,,
SSH-2.0-libssh_0.10.5,0.52,,
SSH-2.0-libssh-0.1,0.01,,
SSH-2.0-libssh2_1.4.3,0.01,,
SSH-2.0-makiko,0.28,,
SSH-2.0-ZGrab ZGrab SSH Survey,0.03,,
SSH-1.5-Nmap-SSH1-Hostkey,0.01,,
SSH-2.0-libssh2_1.10.0,0.26,,
SSH-2.0-libssh2_1.11.0,0.86,,
SSH-1.5-NmapNSE_1.0,0.01,,
